(flavopiridol,nf-kappab)	flavopiridol	nf-kappab	[prep_by, activation, amod]	1.0
(tnf-r2,tnf-r1)	tnf-r2	tnf-r1	[appos, receptor, appos]	1.0
(tnf-r2,tnf-r1)	tnf-r2	tnf-r1	[pobj, to, dep, to, pobj]	1.0
(tnf-r2,tnf-r1)	tnf-r2	tnf-r1	[amod, expression, prep_of]	1.0
(il-2,il-5)	il-2	il-5	[appos, csf, appos]	1.0
(il-2,il-5)	il-2	il-5	[appos, ngf, appos]	1.0
(il-2,il-5)	il-2	il-5	[nsubj, induced, acomp]	1.0
(il-2,il-5)	il-2	il-5	[dep, factor, dep]	1.0
(il-2,il-5)	il-2	il-5	[nsubj, induced, dobj, expression, prep_of]	1.0
(il-2,il-5)	il-2	il-5	[appos, rantes, appos]	1.0
(il-2,il-5)	il-2	il-5	[dep, alpha, dep]	1.0
(il-2,il-5)	il-2	il-5	[appos, alpha, appos]	1.0
(il-2,il-5)	il-2	il-5	[prep_with, synergized, nsubj]	1.0
(il-2,il-5)	il-2	il-5	[agent, induced, partmod, expression, nn]	1.0
(il-2,il-5)	il-2	il-5	[appos, interleukin, appos]	1.0
(il-2,il-5)	il-2	il-5	[prep_of, amounts, amod]	1.0
(il-2,il-5)	il-2	il-5	[nsubj, induced, dobj, expression, nn]	1.0
(il-2,il-5)	il-2	il-5	[appos, lt, appos]	1.0
(il-2,il-5)	il-2	il-5	[appos, beta, appos]	1.0
(il-2,il-5)	il-2	il-5	[nn, alpha, dep]	1.0
(il-2,il-5)	il-2	il-5	[pobj, to, dep, to, pobj]	1.0
(il-2,il-5)	il-2	il-5	[nsubj, induces, dobj]	1.0
(il-11,il-10)	il-11	il-10	[appos, pdgfa, appos]	1.0
(il-11,il-10)	il-11	il-10	[dep, alpha, dep]	1.0
(il-11,il-10)	il-11	il-10	[appos, factor, appos]	1.0
(fgf-7,fgf-2)	fgf-7	fgf-2	[appos, vegf, appos]	1.0
(fgf-7,fgf-2)	fgf-7	fgf-2	[pobj, by, dep, by, pobj]	1.0
(clopidogrel,p-selectin)	clopidogrel	p-selectin	[nsubj, inhibited, dobj, expression, amod]	1.0
(fgf-7,fgf-1)	fgf-7	fgf-1	[appos, factor, appos, factor, appos]	1.0
(fgf-7,fgf-1)	fgf-7	fgf-1	[nsubj, potent, prep_than]	1.0
(il-11,il-13)	il-11	il-13	[amod, lymphotoxin, amod]	1.0
(il-11,il-13)	il-11	il-13	[prep_with, combination, prep_in]	1.0
(propranolol,beta2)	propranolol	beta2	[amod, antagonists, appos]	1.0
