flavopiridol	nf-kappab	[prep_by, activation, amod]	1.0
tnf-r2	tnf-r1	[appos, receptor, appos]	1.0
tnf-r2	tnf-r1	[pobj, to, dep, to, pobj]	1.0
tnf-r2	tnf-r1	[amod, expression, prep_of]	1.0
il-2	il-5	[appos, csf, appos]	1.0
il-2	il-5	[appos, ngf, appos]	1.0
il-2	il-5	[nsubj, induced, acomp]	1.0
il-2	il-5	[dep, factor, dep]	1.0
il-2	il-5	[nsubj, induced, dobj, expression, prep_of]	1.0
il-2	il-5	[appos, rantes, appos]	1.0
il-2	il-5	[dep, alpha, dep]	1.0
il-2	il-5	[appos, alpha, appos]	1.0
il-2	il-5	[prep_with, synergized, nsubj]	1.0
il-2	il-5	[agent, induced, partmod, expression, nn]	1.0
il-2	il-5	[appos, interleukin, appos]	1.0
il-2	il-5	[prep_of, amounts, amod]	1.0
il-2	il-5	[nsubj, induced, dobj, expression, nn]	1.0
il-2	il-5	[appos, lt, appos]	1.0
il-2	il-5	[appos, beta, appos]	1.0
il-2	il-5	[nn, alpha, dep]	1.0
il-2	il-5	[pobj, to, dep, to, pobj]	1.0
il-2	il-5	[nsubj, induces, dobj]	1.0
il-11	il-10	[appos, pdgfa, appos]	1.0
il-11	il-10	[dep, alpha, dep]	1.0
il-11	il-10	[appos, factor, appos]	1.0
fgf-7	fgf-2	[appos, vegf, appos]	1.0
fgf-7	fgf-2	[pobj, by, dep, by, pobj]	1.0
clopidogrel	p-selectin	[nsubj, inhibited, dobj, expression, amod]	1.0
fgf-7	fgf-1	[appos, factor, appos, factor, appos]	1.0
fgf-7	fgf-1	[nsubj, potent, prep_than]	1.0
il-11	il-13	[amod, lymphotoxin, amod]	1.0
il-11	il-13	[prep_with, combination, prep_in]	1.0
propranolol	beta2	[amod, antagonists, appos]	1.0
propranolol	beta2	[appos, antagonist, amod]	1.0
propranolol	beta2	[prep_with, blockade, amod]	1.0
isoflurane	caspase-3	[agent, induced, partmod, activation, amod]	1.0
isoflurane	caspase-3	[prep_on, activation, amod]	1.0
indomethacin	phospholipase	[nsubj, had, dobj, effect, prep_on, activity, amod]	1.0
indomethacin	phospholipase	[nsubj, inhibitor, prep_of, activity, amod]	1.0
indomethacin	phospholipase	[nsubj, inhibited, ccomp]	1.0
indomethacin	phospholipase	[nsubj, inhibited, dobj, activity, amod]	1.0
indomethacin	phospholipase	[nsubj, inhibited, dobj]	1.0
indomethacin	phospholipase	[appos, inhibitor, amod]	1.0
indomethacin	phospholipase	[appos, inhibitor, prep_of, activity, amod]	1.0
indomethacin	phospholipase	[agent, inhibited, nsubjpass, activity, nn]	1.0
anti-il-2	cd25	[amod, receptors, appos]	1.0
zuclopenthixol	cyp2d6	[nsubjpass, metabolised, agent]	1.0
doxycycline	smad7	[agent, induced, nsubjpass, expression, amod]	1.0
il-2	il-1	[nn, beta, dep]	1.0
il-2	il-1	[appos, ngf, appos]	1.0
il-2	il-1	[appos, beta, appos, beta, nn]	1.0
il-2	il-1	[appos, factor, nn]	1.0
il-2	il-1	[dep, alpha, dep]	1.0
il-2	il-1	[prep_with, synergized, nsubj]	1.0
il-2	il-1	[prep_of, expression, amod]	1.0
il-2	il-1	[appos, csf, nn]	1.0
il-2	il-1	[appos, interleukin, appos]	1.0
il-2	il-1	[amod, alpha, dep]	1.0
il-2	il-1	[appos, tnf, appos]	1.0
il-2	il-1	[nn, cells, nn]	1.0
il-2	il-1	[prep_with, synergizes, nsubj]	1.0
il-2	il-1	[nn, production, nn]	1.0
il-2	il-1	[prep_with, combination, prep_in]	1.0
il-2	il-1	[dep, beta, nn]	1.0
il-2	il-1	[appos, beta, nn]	1.0
il-2	il-1	[pobj, with, dep, with, pobj]	1.0
il-2	il-1	[nn, receptors, nn]	1.0
il-2	il-1	[appos, beta, appos]	1.0
il-2	il-1	[appos, alpha, nn]	1.0
il-2	il-1	[agent, followed, partmod]	1.0
il-2	il-1	[nn, treatment, nn]	1.0
il-2	il-1	[appos, antagonist, nn]	1.0
il-2	il-1	[appos, production, nn]	1.0
il-2	il-1	[nn, expression, amod]	1.0
il-2	il-1	[nn, receptor, nn]	1.0
il-2	il-1	[pobj, to, dep, to, pobj]	1.0
il-2	il-1	[pobj, by, dep, by, pobj]	1.0
il-2	il-1	[nn, levels, nn]	1.0
il-2	il-1	[nn, therapy, nn]	1.0
corticosteroids	leukotriene	[appos, antagonist, amod]	1.0
corticosteroids	leukotriene	[appos, antagonists, amod]	1.0
gliclazide	niddm	[nsubjpass, associated, prep_with]	1.0
tolbutamide	niddm	[prep_in, patients, prep_with]	1.0
dipyridamole	pde5	[appos, inhibitor, nn]	1.0
dipyridamole	pde5	[appos, inhibitors, num]	1.0
dipyridamole	pde5	[amod, inhibitors, num]	1.0
geldanamycin	hsp90	[prep_as, inhibitor, amod]	1.0
geldanamycin	hsp90	[prep_such_as, inhibitors, nn]	1.0
geldanamycin	hsp90	[prep_with, inhibited, nsubjpass]	1.0
geldanamycin	hsp90	[prep_like, inhibitors, amod]	1.0
geldanamycin	hsp90	[dobj, inhibitors, nsubj]	1.0
geldanamycin	hsp90	[dep, inhibitors, prep_of]	1.0
geldanamycin	hsp90	[appos, antagonist, amod]	1.0
geldanamycin	hsp90	[amod, protein, appos]	1.0
geldanamycin	hsp90	[dep, inhibitor, prep_of]	1.0
geldanamycin	hsp90	[amod, inhibition, prep_of]	1.0
geldanamycin	hsp90	[dobj, using, nsubj]	1.0
geldanamycin	hsp90	[appos, inhibitors, prep_of]	1.0
geldanamycin	hsp90	[prep_with, cells, prep_of, treatment, appos, inhibitor, prep_of]	1.0
geldanamycin	hsp90	[appos, inhibitor, nn]	1.0
geldanamycin	hsp90	[appos, inhibitor, prep_of]	1.0
geldanamycin	hsp90	[appos, inhibitors, nn]	1.0
geldanamycin	hsp90	[appos, inhibitors, num]	1.0
geldanamycin	hsp90	[nsubj, inhibitor, prep_of]	1.0
geldanamycin	hsp90	[prep_such_as, inhibitors, prep_of]	1.0
geldanamycin	hsp90	[appos, blocker, prep_of]	1.0
geldanamycin	hsp90	[nsubj, inhibits, dobj]	1.0
geldanamycin	hsp90	[nsubj, inhibitor, nn]	1.0
geldanamycin	hsp90	[amod, inhibitors, num]	1.0
geldanamycin	hsp90	[appos, inhibitor, amod]	1.0
geldanamycin	hsp90	[prep_of, binding, prep_to]	1.0
geldanamycin	hsp90	[dobj, using, partmod]	1.0
geldanamycin	hsp90	[nsubj, binds, dobj]	1.0
geldanamycin	hsp90	[prep_with, inhibition, amod]	1.0
geldanamycin	hsp90	[prep_such_as, inhibitors, num]	1.0
geldanamycin	hsp90	[nn, a, amod]	1.0
geldanamycin	hsp90	[appos, inhibitor, prep_of, activity, amod]	1.0
geldanamycin	hsp90	[dep, inhibition, prep_of]	1.0
geldanamycin	hsp90	[amod, inhibitors, amod]	1.0
geldanamycin	hsp90	[rcmod, inhibitor, prep_of]	1.0
geldanamycin	hsp90	[dep, inhibitor, amod]	1.0
geldanamycin	hsp90	[appos, inhibitors, amod]	1.0
geldanamycin	hsp90	[nsubj, decreased, dobj, phosphorylation, prep_of]	1.0
geldanamycin	hsp90	[prep_by, inhibited, nsubj]	1.0
geldanamycin	hsp90	[prep_of, target, appos]	1.0
geldanamycin	hsp90	[prep_by, inhibition, amod]	1.0
geldanamycin	hsp90	[appos, protein, appos]	1.0
geldanamycin	hsp90	[nsubj, binds, prep_to]	1.0
geldanamycin	hsp90	[nsubj, interacts, prep_with]	1.0
geldanamycin	hsp90	[amod, selective, dep]	1.0
geldanamycin	hsp90	[prep_including, inhibitors, amod]	1.0
geldanamycin	hsp90	[appos, inhibitor, num]	1.0
geldanamycin	hsp90	[agent, inhibition, partmod]	1.0
geldanamycin	hsp90	[prep_by, inhibition, prep_of]	1.0
geldanamycin	hsp90	[nsubj, inhibitor, amod]	1.0
geldanamycin	hsp90	[nsubj, inhibits, dobj, activity, prep_of]	1.0
geldanamycin	hsp90	[prep_with, activity, amod]	1.0
geldanamycin	hsp90	[prep_by, activity, amod]	1.0
geldanamycin	hsp90	[appos, antagonist, prep_of]	1.0
melatonin	bcl-2	[nsubj, enhanced, dobj, expression, prep_of]	1.0
melatonin	bcl-2	[amod, expression, nn]	1.0
melatonin	bcl-2	[amod, genes, amod]	1.0
carbamates	faah	[prep_by, inactivation, nn]	1.0
carbamates	faah	[nsubj, inhibit, dobj]	1.0
pge2	pgd2	[prep_than, potent, nsubj]	1.0
pge2	pgd2	[dep, alpha, dep]	1.0
pge2	pgd2	[appos, alpha, appos]	1.0
pge2	pgd2	[nn, alpha, appos]	1.0
pge2	pgd2	[prep_to, reduced, nsubj]	1.0
pge2	pgd2	[partmod, followed, agent]	1.0
pge2	pgd2	[appos, alpha, nn]	1.0
pge2	pgd2	[nn, alpha, dep]	1.0
losartan	urat1	[nsubj, inhibited, dobj]	1.0
aldosterone	bmp-6	[nsubj, decreased, dobj, expression, nn]	1.0
gm-csf	il-13	[dep, factor, dep]	1.0
gm-csf	il-13	[nn, expression, nn]	1.0
gm-csf	il-13	[appos, factor, dep]	1.0
gm-csf	il-13	[amod, alpha, dep]	1.0
gm-csf	il-13	[appos, factor, appos]	1.0
prostacyclin	cox-1	[nn, synthase, appos]	1.0
astemizole	cyp2j2	[appos, inhibitor, nn]	1.0
prostacyclin	cox-2	[dobj, inhibitors, nsubj]	1.0
prostacyclin	cox-2	[nsubj, induces, dobj, expression, nn]	1.0
prostacyclin	cox-2	[nn, receptor, appos]	1.0
gm-csf	il-15	[dep, factor, dep]	1.0
gm-csf	il-15	[prep_with, combination, prep_in]	1.0
gm-csf	il-15	[appos, factor, amod]	1.0
amiloride	kallikrein	[nsubj, inhibit, dobj, activity, prep_of]	1.0
amiloride	kallikrein	[rcmod, inhibits, acomp]	1.0
amiloride	kallikrein	[agent, inhibited, nsubjpass, activity, prep_of]	1.0
diphenhydramine	cyp2d6	[nsubj, inhibit, dobj, activity, amod]	1.0
diphenhydramine	cyp2d6	[prep_on, activity, prep_of]	1.0
diphenhydramine	cyp2d6	[nsubj, inhibited, dobj]	1.0
diphenhydramine	cyp2d6	[nsubj, substrate, amod]	1.0
gm-csf	il-10	[dep, factor, dep]	1.0
gm-csf	il-10	[nsubj, induces, dobj, expression, nn]	1.0
gm-csf	il-10	[appos, factor, dep]	1.0
gm-csf	il-10	[appos, levels, amod]	1.0
gm-csf	il-10	[amod, levels, prep_of]	1.0
gm-csf	il-10	[amod, alpha, dep]	1.0
gm-csf	il-10	[prep_with, associated, nsubjpass]	1.0
gm-csf	il-10	[appos, viii, appos]	1.0
gm-csf	il-10	[appos, factor, amod]	1.0
valsartan	adiponectin	[prep_on, levels, nn]	1.0
forskolin	sf-1	[amod, levels, nn]	1.0
forskolin	sf-1	[nsubj, increased, dobj, expression, prep_of]	1.0
gm-csf	il-11	[appos, scf, appos]	1.0
gm-csf	il-11	[appos, genes, amod]	1.0
il-11	gm-csf	[amod, genes, appos]	1.0
il-11	gm-csf	[appos, scf, appos]	1.0
capecitabine	dlts	[prep_of, toxicities, appos]	1.0
pranlukast	cyslt1	[amod, antagonists, appos]	1.0
pranlukast	cyslt1	[appos, antagonist, appos]	1.0
pranlukast	cyslt1	[appos, antagonist, amod]	1.0
pranlukast	cyslt1	[amod, antagonists, amod]	1.0
