rc-160	igf-i	[nsubj, reduced, dobj]	1.0
tnf-r2	tnf-r1	[dep, factor, nn]	1.0
tnf-r2	tnf-r1	[appos, i, appos]	1.0
tnf-r2	tnf-r1	[pobj, to, dep, to, pobj]	1.0
tnf-r2	tnf-r1	[appos, receptor, appos]	1.0
tnf-r2	tnf-r1	[amod, expression, prep_of]	1.0
tnf-r2	tnf-r1	[appos, kda, appos]	1.0
tnf-r2	tnf-r1	[appos, type, appos]	1.0
tiludronate	vegf	[nsubj, suppressed, dobj, synthesis, amod]	1.0
il-11	il-10	[dep, alpha, dep]	1.0
il-11	il-10	[nn, factor, dep]	1.0
il-11	il-10	[dep, oncostatin, dep]	1.0
il-11	il-10	[appos, pdgfa, appos]	1.0
il-11	il-10	[nn, m, appos]	1.0
il-11	il-10	[appos, factor, appos]	1.0
il-2	il-5	[amod, assays, nn]	1.0
il-2	il-5	[nn, rantes, appos]	1.0
il-2	il-5	[nsubj, induced, dobj, expression, nn]	1.0
il-2	il-5	[nsubj, stimulates, dobj, production, nn]	1.0
il-2	il-5	[dep, molecule, dep]	1.0
il-2	il-5	[nsubj, stimulates, dobj, production, prep_of]	1.0
il-2	il-5	[agent, induced, partmod, expression, nn]	1.0
il-2	il-5	[nn, bcgf, appos]	1.0
il-2	il-5	[nn, gamma, dep]	1.0
il-2	il-5	[agent, stimulated, partmod, expression, amod]	1.0
il-2	il-5	[appos, csf, appos]	1.0
il-2	il-5	[amod, beta, amod]	1.0
il-2	il-5	[nsubj, correlated, prep_with]	1.0
il-2	il-5	[appos, interleukin, appos]	1.0
il-2	il-5	[prep_of, amounts, amod]	1.0
il-2	il-5	[prep_of, levels, nsubj]	1.0
il-2	il-5	[nn, ratios, nn]	1.0
il-2	il-5	[dep, ifn, dep]	1.0
il-2	il-5	[dep, factor, dep]	1.0
il-2	il-5	[nsubj, induced, dobj, expression, prep_of]	1.0
il-2	il-5	[dep, alpha, dep]	1.0
il-2	il-5	[appos, alpha, appos]	1.0
il-2	il-5	[nn, factor, dep]	1.0
il-2	il-5	[prep_with, synergized, nsubj]	1.0
il-2	il-5	[appos, lt, appos]	1.0
il-2	il-5	[dep, chain, dep]	1.0
il-2	il-5	[appos, rantes, appos]	1.0
il-2	il-5	[dep, mucosa, dep]	1.0
il-2	il-5	[appos, beta, appos]	1.0
il-2	il-5	[pobj, to, dep, to, pobj]	1.0
il-2	il-5	[appos, ngf, appos]	1.0
il-2	il-5	[nn, perforin, appos]	1.0
il-2	il-5	[nsubj, induces, dobj]	1.0
il-2	il-5	[xsubj, secrete, dobj]	1.0
il-2	il-5	[nsubj, induced, acomp]	1.0
il-2	il-5	[nn, hprt, appos]	1.0
il-2	il-5	[prep_with, detected, nsubjpass]	1.0
il-2	il-5	[dep, interferon, dep]	1.0
il-2	il-5	[dep, gamma, dep]	1.0
il-2	il-5	[nn, alpha, dep]	1.0
actd	actc	[dep, levels, dep]	1.0
il-11	il-16	[amod, lymphotoxin, amod]	1.0
fgf-7	fgf-2	[appos, vegf, appos]	1.0
fgf-7	fgf-2	[pobj, by, dep, by, pobj]	1.0
urokinase	fmlp	[nsubj, binds, prep_to, receptor, nn]	1.0
clopidogrel	p-selectin	[amod, treatment, nsubj, inhibited, dobj, expression, amod]	1.0
clopidogrel	p-selectin	[nsubj, inhibited, dobj, expression, amod]	1.0
clopidogrel	p-selectin	[nsubj, has, dobj, effects, prep_on, expression, prep_of, molecules, appos]	1.0
fgf-7	fgf-1	[nsubj, potent, prep_than]	1.0
fgf-7	fgf-1	[appos, factor, appos, factor, appos]	1.0
il-11	il-13	[amod, lymphotoxin, amod]	1.0
il-11	il-13	[prep_with, combination, prep_in]	1.0
cd120b	cd120a	[nsubjpass, expressed, prep_in, contrast, prep_to]	1.0
cd120b	cd120a	[prep_for, positive, prep_for]	1.0
cd120b	cd120a	[appos, kda, appos]	1.0
isoflurane	caspase-3	[prep_on, activation, amod]	1.0
isoflurane	caspase-3	[agent, induced, partmod, activation, amod]	1.0
estradiol	bmpr1a	[nsubj, decreased, dobj, levels, prep_of]	1.0
duloxetine	icer	[nsubj, had, dobj]	1.0
zuclopenthixol	cyp2d6	[prep_of, concentrations, prep_on, polymorphism, amod]	1.0
zuclopenthixol	cyp2d6	[nsubjpass, metabolised, agent]	1.0
doxycycline	smad7	[agent, induced, nsubjpass, expression, amod]	1.0
il-2	il-1	[dep, alpha, dep, beta, amod]	1.0
il-2	il-1	[dep, alpha, dep, alpha, dep]	1.0
il-2	il-1	[prep_unlike, produced, nsubjpass]	1.0
il-2	il-1	[appos, beta, nn]	1.0
il-2	il-1	[nn, receptors, nn]	1.0
il-2	il-1	[appos, viii, nn]	1.0
il-2	il-1	[dep, factor, nn]	1.0
il-2	il-1	[dep, factor, amod]	1.0
il-2	il-1	[appos, lt, nn]	1.0
il-2	il-1	[amod, alpha, dep]	1.0
il-2	il-1	[amod, responsiveness, appos]	1.0
il-2	il-1	[dep, beta, nn]	1.0
il-2	il-1	[nn, production, nsubjpass, stimulated, agent]	1.0
il-2	il-1	[prep_of, secretion, amod]	1.0
il-2	il-1	[appos, production, nn]	1.0
il-2	il-1	[nn, expression, amod]	1.0
il-2	il-1	[nn, levels, nn]	1.0
il-2	il-1	[nn, beta, dep]	1.0
il-2	il-1	[appos, interleukin, appos]	1.0
il-2	il-1	[prep_of, effects, nsubj, dependent, prep_on]	1.0
il-2	il-1	[pobj, with, dep, with, pobj]	1.0
il-2	il-1	[appos, beta, amod]	1.0
il-2	il-1	[dep, levels, nn]	1.0
il-2	il-1	[dep, increased, nsubj]	1.0
il-2	il-1	[appos, gcsf, appos]	1.0
il-2	il-1	[dep, alpha, dep]	1.0
il-2	il-1	[prep_with, synergized, nsubj]	1.0
il-2	il-1	[appos, tnf, appos]	1.0
il-2	il-1	[nsubj, similar, prep_to]	1.0
il-2	il-1	[prep_with, synergizes, nsubj]	1.0
il-2	il-1	[appos, interleukin, dep, antagonist, dep]	1.0
il-2	il-1	[nn, treatment, nn]	1.0
il-2	il-1	[appos, interferon, appos]	1.0
il-2	il-1	[dep, alpha, nn]	1.0
il-2	il-1	[appos, beta, appos, beta, nn]	1.0
il-2	il-1	[appos, factor, appos, beta, nn]	1.0
il-2	il-1	[rcmod, stimulated, prep_with]	1.0
il-2	il-1	[nn, receptor, prep_of, expression, dobj, induced, nsubj]	1.0
il-2	il-1	[appos, beta, appos]	1.0
il-2	il-1	[nn, receptor, nn]	1.0
il-2	il-1	[pobj, to, dep, to, pobj]	1.0
il-2	il-1	[nn, therapy, nn]	1.0
il-2	il-1	[appos, ngf, appos]	1.0
il-2	il-1	[prep_to, respond, advcl, respond, prep_to]	1.0
il-2	il-1	[dep, receptor, nn]	1.0
il-2	il-1	[prep_with, act, xsubj]	1.0
il-2	il-1	[appos, factor, nn]	1.0
il-2	il-1	[appos, activity, appos]	1.0
il-2	il-1	[nn, cells, nn]	1.0
il-2	il-1	[nsubj, increased, advcl, decreased, nsubj]	1.0
il-2	il-1	[nn, production, nsubjpass, augmented, agent, coculturing, prep_with]	1.0
il-2	il-1	[prep_of, expression, amod]	1.0
il-2	il-1	[appos, csf, nn]	1.0
il-2	il-1	[nn, production, nn]	1.0
il-2	il-1	[nsubj, superior, prep_to]	1.0
il-2	il-1	[prep_with, combination, prep_in]	1.0
il-2	il-1	[appos, alpha, nn]	1.0
il-2	il-1	[agent, followed, partmod]	1.0
il-2	il-1	[appos, antagonist, nn]	1.0
il-2	il-1	[pobj, by, dep, by, pobj]	1.0
il-2	il-1	[amod, beta, nn]	1.0
il-2	il-1	[nn, synthesis, nn]	1.0
il-2	il-1	[nn, toxicity, prep_in]	1.0
corticosteroids	leukotriene	[appos, antagonist, amod]	1.0
corticosteroids	leukotriene	[appos, blockers, amod]	1.0
corticosteroids	leukotriene	[appos, antagonists, amod]	1.0
corticosteroids	leukotriene	[appos, agents, amod]	1.0
