(rc-160,igf-i)	rc-160	igf-i	[nsubj, reduced, dobj]	1.0
(tnf-r2,tnf-r1)	tnf-r2	tnf-r1	[dep, factor, nn]	1.0
(tnf-r2,tnf-r1)	tnf-r2	tnf-r1	[appos, i, appos]	1.0
(tnf-r2,tnf-r1)	tnf-r2	tnf-r1	[pobj, to, dep, to, pobj]	1.0
(tnf-r2,tnf-r1)	tnf-r2	tnf-r1	[appos, receptor, appos]	1.0
(tnf-r2,tnf-r1)	tnf-r2	tnf-r1	[amod, expression, prep_of]	1.0
(tnf-r2,tnf-r1)	tnf-r2	tnf-r1	[appos, kda, appos]	1.0
(tnf-r2,tnf-r1)	tnf-r2	tnf-r1	[appos, type, appos]	1.0
(tiludronate,vegf)	tiludronate	vegf	[nsubj, suppressed, dobj, synthesis, amod]	1.0
(il-11,il-10)	il-11	il-10	[dep, alpha, dep]	1.0
(il-11,il-10)	il-11	il-10	[nn, factor, dep]	1.0
(il-11,il-10)	il-11	il-10	[dep, oncostatin, dep]	1.0
(il-11,il-10)	il-11	il-10	[appos, pdgfa, appos]	1.0
(il-11,il-10)	il-11	il-10	[nn, m, appos]	1.0
(il-11,il-10)	il-11	il-10	[appos, factor, appos]	1.0
(il-2,il-5)	il-2	il-5	[amod, assays, nn]	1.0
(il-2,il-5)	il-2	il-5	[nn, rantes, appos]	1.0
(il-2,il-5)	il-2	il-5	[nsubj, induced, dobj, expression, nn]	1.0
(il-2,il-5)	il-2	il-5	[nsubj, stimulates, dobj, production, nn]	1.0
(il-2,il-5)	il-2	il-5	[dep, molecule, dep]	1.0
(il-2,il-5)	il-2	il-5	[nsubj, stimulates, dobj, production, prep_of]	1.0
(il-2,il-5)	il-2	il-5	[agent, induced, partmod, expression, nn]	1.0
(il-2,il-5)	il-2	il-5	[nn, bcgf, appos]	1.0
(il-2,il-5)	il-2	il-5	[nn, gamma, dep]	1.0
(il-2,il-5)	il-2	il-5	[agent, stimulated, partmod, expression, amod]	1.0
(il-2,il-5)	il-2	il-5	[appos, csf, appos]	1.0
(il-2,il-5)	il-2	il-5	[amod, beta, amod]	1.0
(il-2,il-5)	il-2	il-5	[nsubj, correlated, prep_with]	1.0
